,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,Price,Street,District,State
342,Maruti Suzuki,Ertiga,VXI,2014,70500,Petrol,Manual,2nd,580000.0,Sector 2, Bhilai, Chhattisgarh
343,Hyundai,Verna,2011-2014 1.6 SX,2012,91000,Diesel,Manual,2nd,435000.0,Mahesh Nagar, Aurangabad, Maharashtra
344,Maruti Suzuki,Ciaz,2014-2017 ZDi Plus,2015,135000,Diesel,Manual,2nd,700000.0,Kurkumbh, Kurkumbh MIDC, Maharashtra
345,Hyundai,Verna,2006-2010 CRDi,2006,180000,Diesel,Automatic,3rd,200000.0,Ayyagaripet, Sathupally, Telangana
346,Maruti Suzuki,Vitara Brezza,ZDi Plus,2016,80000,Diesel,Manual,1st,830000.0,Turakrathi, Kundapura, Karnataka
347,Hyundai,i10,1.2 Kappa Magna,2012,70500,Petrol,Manual,1st,271500.0,Sector 51, Chandigarh, Chandigarh
348,Hyundai,Elite i20,Magna 1.2,2015,41000,Petrol,Manual,2nd,430000.0,Elgin Road, Kolkata, West Bengal
349,,,,0,0,Unknown,Unknown,,,,,
350,Toyota,Innova Crysta,2.4 ZX MT,2018,70000,Diesel,Manual,1st,1950000.0,Tidke Colony, Nashik, Maharashtra
351,Hyundai,i10,1.1L iRDE ERA Special Edition,2008,19000,Petrol,Manual,1st,160000.0,Preet Vihar, Delhi, Delhi
352,Hyundai,Creta,1.4 CRDi S Plus,2018,21000,Diesel,Manual,1st,975000.0,T Nagar, Chennai, Tamil Nadu
353,Tata,Indigo Ecs,eCS LS CR4 BS-IV,2012,170000,Diesel,Manual,2nd,95000.0,Marriguda, Hyderabad, Telangana
354,Volkswagen,Polo,2009-2013 Petrol Highline 1.6L,2017,37000,Petrol,Manual,1st,640000.0,Panampilly Nagar, Kochi, Kerala
355,Toyota,Innova,2009-2011 GX CNG,2009,90000,CNG & Hybrids,Manual,3rd,399000.0,Pitampura, Delhi, Delhi
356,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2018,37000,Petrol,Manual,1st,450000.0,Rajarhat, Kolkata, West Bengal
357,Chevrolet,Sail,1.2 LS ABS,2013,57000,Petrol,Manual,1st,240000.0,Off SG Highway, Ahmedabad, Gujarat
358,Maruti Suzuki,Wagon R,VXI,2015,31500,Petrol,Manual,1st,383000.0,Kattappana Market, Kattappana, Kerala
359,Maruti Suzuki,Wagon R 1.0,1.0 VXi,2015,56320,Petrol,Manual,2nd,355000.0,Sultanpet, Palakkad, Kerala
360,Audi,A4,1.8 TFSI Multitronic Premium Plus,2006,65000,Petrol,Automatic,2nd,375000.0,Greater Kailash 1, Delhi, Delhi
361,Maruti Suzuki,800,AC,2001,52500,Petrol,Manual,1st,65000.0,Gajapati Nagar, Berhmapur, Odisha
362,Hyundai,Verna,Others,2009,92000,Diesel,Manual,2nd,220000.0,Chandigarh Airport Area, Chandigarh, Chandigarh
363,Maruti Suzuki,Swift,2018 AMT VXI,2018,25000,Petrol,Automatic,2nd,650000.0,Hagadur Vinayaka Nagar, Bengaluru, Karnataka
364,BMW,5 Series,520d Luxury Line,2015,34000,Diesel,Automatic,2nd,2350000.0,Elgin Road, Kolkata, West Bengal
365,Honda,Jazz,VX,2019,20000,Petrol,Manual,1st,790000.0,Asher Nagar, Tiruppur, Tamil Nadu
366,Hyundai,i20,2010-2012 1.4 CRDi Asta,2011,42144,Diesel,Manual,1st,275000.0,Madurdaha, Kolkata, West Bengal
367,Hyundai,Elite i20,Asta Option CVT,2018,20000,Petrol,Automatic,1st,775000.0,Andheri West, Mumbai, Maharashtra
368,Maruti Suzuki,Alto,LXi,2008,88000,Petrol,Manual,1st,105000.0,Mahendra Park, Delhi, Delhi
369,Honda,City,i-VTEC CVT ZX,2017,60000,Petrol,Automatic,1st,985000.0,Hope College, Coimbatore, Tamil Nadu
370,Hyundai,i20 Active,Active 1.4 SX (O),2015,54000,Diesel,Manual,1st,560000.0,Chandmari, Guwahati, Assam
371,Maruti Suzuki,Swift,1.2 DLX,2020,20000,Petrol,Manual,1st,200000.0,Nagwahan, Sundarnagar, Himachal Pradesh
372,iPhone,,,0,0,Unknown,Unknown,,15499.0,Samudrapur, Maharashtra, India
373,Audi,Q3,35 TDI Premium Plus + Sunroof,2015,59000,Diesel,Automatic,2nd,1575000.0,Ramesh Nagar, Delhi, Delhi
374,Hyundai,Verna,2011-2014 1.6 SX CRDI (O) AT,2014,51000,Diesel,Automatic,1st,625000.0,Sunder Nagar, Ahmedabad, Gujarat
375,Maruti Suzuki,Swift,VXI,2014,49000,Petrol,Manual,1st,425000.0,Chandigarh Airport Area, Chandigarh, Chandigarh
376,Maruti Suzuki,Swift,VDI,2012,78000,Diesel,Manual,,325000.0,Sector 37A, Gurgaon, Haryana
377,Maruti Suzuki,Swift Dzire,VXI,2014,77000,Petrol,Manual,1st,465000.0,SG Highway, Ahmedabad, Gujarat
378,Maruti Suzuki,Alto K10,VXI,2013,37000,CNG & Hybrids,Manual,1st,241000.0,Science City, Ahmedabad, Gujarat
379,Maruti Suzuki,Swift Dzire,Swift Dzire Tour,2018,35000,Diesel,Manual,1st,530500.0,Madhavaram, Chennai, Tamil Nadu
380,Hyundai,i10,1.2 Kappa Magna,2009,61000,Petrol,Manual,1st,259000.0,Kodambakkam, Chennai, Tamil Nadu
381,Maruti Suzuki,Alto,2000-2005 LXI,2011,41321,Petrol,Manual,1st,165101.0,Rabindra Nagar, Siliguri, West Bengal
382,Maruti Suzuki,Ritz,Ldi BS-IV,2010,37163,Diesel,Manual,1st,195000.0,Madurdaha, Kolkata, West Bengal
383,Jeep,Compass,2.0 Limited,2018,70000,Diesel,Manual,1st,1545000.0,Nagawara, Bengaluru, Karnataka
384,Hyundai,i10,1.2 Kappa SPORTZ,2010,70000,Petrol,Manual,2nd,250000.0,Benzco, Vijayawada, Andhra Pradesh
385,Volkswagen,Polo,2009-2013 Diesel Highline 1.2L,2012,63800,Diesel,Manual,2nd,325000.0,Mohit Vihar, Dehradun, Uttaranchal
386,Mitsubishi,Pajero,Select Plus 4X4 MT,2011,80000,Diesel,Manual,2nd,715000.0,Industrial Area, Chandigarh, Chandigarh
387,Honda,City ZX,GXi,2007,76000,Petrol,Manual,2nd,245000.0,Banashankari, Bengaluru, Karnataka
388,Tata,Nano,XT,2017,50000,Petrol,Manual,1st,150000.0,Naranpura, Ahmedabad, Gujarat
389,,,,0,0,Unknown,Unknown,,,,,
390,Skoda,Rapid,1.5 TDI CR Elegance Plus,2014,215000,Diesel,Manual,1st,450000.0,Goripalayam, Madurai, Tamil Nadu
391,Maruti Suzuki,Esteem,Vxi - BSIII,2007,80000,CNG & Hybrids,Manual,1st,125500.0,Sector 28, Gandhinagar, Gujarat
392,Mahindra,Jeep,Commander 750 DI,2010,165000,Diesel,Manual,2nd,575000.0,Ramamangalam, Kochi, Kerala
393,BMW,3 Series,320d Luxury Line,2014,61000,Diesel,Automatic,2nd,1711000.0,Prahlad nagar, Ahmedabad, Gujarat
394,Maruti Suzuki,Ciaz,1.4 Sigma,2017,25500,Petrol,Manual,2nd,640000.0,Birgaon, Raipur, Chhattisgarh
395,Mahindra,XUV500,W8 2WD,2012,81000,Diesel,Manual,1st,500000.0,Rampur, Rampur, Uttar Pradesh
396,Maruti Suzuki,Swift Dzire,VDI,2016,62000,Diesel,Manual,1st,610000.0,Andheri West, Mumbai, Maharashtra
397,Renault,Duster,85PS Diesel RxL,2014,68000,Diesel,Manual,1st,425000.0,Ward No 3, Ghagga, Punjab
398,Maruti Suzuki,800,AC BSII,2007,45000,Petrol,Manual,,95000.0,Shantipuram, Visakhapatnam, Andhra Pradesh
399,Maruti Suzuki,Wagon R,LXI,2016,54000,Petrol,Manual,1st,341000.0,Rohini Sector 10, Delhi, Delhi
400,Maruti Suzuki,Alto,LXi,2009,80000,CNG & Hybrids,Manual,2nd,92000.0,Babarpur, Delhi, Delhi
401,Maruti Suzuki,Wagon R 1.0,1.0 LXi,2009,51000,Petrol,Manual,1st,200000.0,Off SG Highway, Ahmedabad, Gujarat
