,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,location,Price
214,Hyundai,Grand i10,2013-2016 Magna,2015,"37,077 km",Petrol,Manual,2nd,"Sector 46, Gurgaon, Haryana","₹ 3,45,050"
215,Volkswagen,Polo,2009-2013 Petrol Comfortline 1.2L,2013,"16,779 km",Petrol,Manual,1st,"CBD Belapur, Navi Mumbai, Maharashtra","₹ 2,96,000"
216,Maruti Suzuki,Wagon R Duo,Others,2008,"108,000 km",LPG,Manual,1st,"Bavdhan, Pune, Maharashtra","₹ 2,10,000"
217,Mahindra,Marazzo,M8,2018,1st,Diesel,"31,000 km",-,"Sion West, Mumbai, Maharashtra","₹ 11,60,000"
218,Toyota,Innova Crysta,2.8 GX AT,2018,"42,000 km",Diesel,Automatic,1st,"Swarajnagar, Ahmedabad, Gujarat","₹ 16,50,000"
219,Mahindra,Scorpio,S11,2018,"25,000 km",Diesel,Manual,2nd,"Ashok Nagar, Sri Ganganagar, Rajasthan","₹ 15,65,000"
220,Mahindra,Scorpio,2002-2013 VLX,2008,"160,000 km",Diesel,Manual,2nd,"Parappalayam, Tiruppur, Tamil Nadu","₹ 6,50,000"
221,Mercedes-Benz,S-Class,S 350 L,2008,"78,000 km",Petrol,Automatic,2nd,"Baba Nagar, Delhi, Delhi","₹ 7,00,000"
222,Skoda,Rapid,2013-2016 1.5 TDI Elegance,2015,"780,000 km",Diesel,Manual,1st,"Panampilly Nagar, Kochi, Kerala","₹ 5,75,000"
223,Honda,City,2011-2013 S,2012,"82,000 km",Petrol,Manual,1st,"Mulund West, Mumbai, Maharashtra","₹ 3,80,000"
224,BMW,7 Series,760i Sedan,2012,-,5 km,-,-,"Vyttila, Kochi, Kerala","₹ 15,000"
225,-,-,-,-,-,-,-,-,"Samudrapur, Maharashtra, India",₹ 599
226,Maruti Suzuki,Alto 800,LXI Opt,2016,"46,000 km",Petrol,Manual,1st,"Rohini Sector 10, Delhi, Delhi","₹ 2,81,000"
227,Maruti Suzuki,Alto 800,LXI,2012,"65,010 km",Petrol,Manual,-,"Balkampet, Hyderabad, Telangana","₹ 2,40,000"
228,Ford,Figo,Titanium Diesel,2010,"72,000 km",Diesel,Manual,1st,"Banashankari, Bengaluru, Karnataka","₹ 2,45,000"
229,Jaguar,XJ,L 3.0 Diesel,2013,"42,000 km",Diesel,Automatic,1st,"Greater Kailash, Delhi, Delhi","₹ 27,00,000"
230,Hyundai,Elite i20,Sportz 1.2 OPT,2020,"7,000 km",Petrol,Manual,1st,"Kodambakkam Zacharia Colony, Chennai, Tamil Nadu","₹ 7,84,000"
231,-,-,-,-,-,-,-,-,-,-
232,BMW,X1,xDrive 20d xLine,2012,"60,000 km",Diesel,Automatic,2nd,"Versova, Mumbai, Maharashtra","₹ 7,75,000"
233,Hyundai,Xcent,2017,Diesel,1st,Manual,"58,000 km",-,"Thergaon, Pune, Maharashtra","₹ 3,65,000"
234,Chevrolet,Cruze,2010-2011 LTZ,2010,"103,400 km",Diesel,Manual,2nd,"Swastik Vihar, Panchkula, Haryana","₹ 4,35,000"
235,Mitsubishi,Pajero,Sport 4X4 AT,2015,"57,000 km",Diesel,Automatic,1st,"Kodambakkam Taylor Estate, Chennai, Tamil Nadu","₹ 14,00,000"
236,Toyota,Innova,2.5 V 8 STR,2011,"167,000 km",Diesel,Manual,3rd,"Karamana, Thiruvananthapuram, Kerala","₹ 7,00,000"
237,Mahindra,Thar,2010-2015 4X4,2012,"58,000 km",Diesel,Manual,2nd,"Preet Vihar, Delhi, Delhi","₹ 4,40,000"
238,Toyota,Fortuner,2015,Diesel,-,Manual,"69,500 km",-,"Burari, Delhi, Delhi","₹ 12,50,000"
239,Toyota,Fortuner,2.8 2WD MT,2018,"78,000 km",Diesel,Manual,1st,"MG Road, Indore, Madhya Pradesh","₹ 31,00,000"
240,Mahindra,NuvoSport,N8 AMT,2016,"40,582 km",Diesel,Automatic,1st,"Andheri West, Mumbai, Maharashtra","₹ 7,10,000"
241,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2011,"48,000 km",Petrol,Manual,2nd,"Savoli Sector 1, Navi Mumbai, Maharashtra","₹ 2,95,000"
242,Maruti Suzuki,800,AC BSIII,2008,-,"89,912 km",-,-,"Palarivattom, Kochi, Kerala","₹ 1,00,000"
243,Tata,Nano,2012-2015 LX,2012,"36,000 km",Petrol,Manual,1st,"Khagithopha, Bengaluru, Karnataka","₹ 1,15,000"
244,Hyundai,Elite i20,Magna 1.4 CRDI,2018,"67,588 km",Diesel,Manual,1st,"Gokulam, Mysuru, Karnataka","₹ 8,40,000"
245,-,-,-,-,-,-,-,-,"Samudrapur, Maharashtra, India",₹ 599
246,-,-,-,-,-,-,-,-,"Samudrapur, Maharashtra, India","₹ 1,000"
247,Maruti Suzuki,Swift Dzire,Swift Dzire Tour,2015,"110,722 km",Diesel,Manual,1st,"Karmanghat, Hyderabad, Telangana","₹ 3,50,000"
248,Maruti Suzuki,Swift Dzire,ZDI,2016,"60,000 km",Diesel,Automatic,1st,"Rohini Sector 3, Delhi, Delhi","₹ 4,70,000"
249,Maruti Suzuki,Swift Dzire,LDI Optional,2015,"93,000 km",Diesel,Manual,1st,"Tolichowki, Hyderabad, Telangana","₹ 3,35,000"
250,Maruti Suzuki,Alto K10,VXI,2014,"50,000 km",Petrol,Manual,1st,"Raja Park, Jaipur, Rajasthan","₹ 2,50,000"
251,Maruti Suzuki,Swift Dzire,VDI,2014,"70,500 km",Diesel,Manual,1st,"Sarthana Jakatnaka, Surat, Gujarat","₹ 4,50,000"
252,Hyundai,i20,2009-2011 Sportz Option,2011,"56,000 km",Petrol,Manual,1st,"Pitampura, Delhi, Delhi","₹ 2,42,000"
253,Nissan,Sunny,XV,2013,"55,000 km",Petrol,Manual,1st,"New Friends Colony, Delhi, Delhi","₹ 2,50,000"
254,Honda,City,i-VTEC SV,2017,"28,076 km",Petrol,Manual,1st,"Nerkundram Valavinayear Nagar, Chennai, Tamil Nadu","₹ 7,51,800"
255,Tata,Tigor,1.05 Revotorq XE,2018,"58,000 km",Diesel,Manual,1st,"Vengoor, Angamaly, Kerala","₹ 4,99,000"
256,Mahindra,Thar,CRDE 4X4 BS IV,2017,"20,000 km",Diesel,Manual,1st,"Sadahalli, Bengaluru, Karnataka","₹ 11,00,000"
257,Tata,Indigo,LS TDI BS-III,2007,2nd,Diesel,"93,000 km",-,"Usuppur, Chidambaram, Tamil Nadu","₹ 1,08,000"
258,Hyundai,Verna,CRDi 1.6 AT SX Option,2018,"49,000 km",Diesel,Automatic,2nd,"Sant Nagar, Pune, Maharashtra","₹ 11,95,000"
259,-,-,-,-,-,-,-,-,"Samudrapur, Maharashtra, India",₹ 699
260,Mahindra,Bolero Power Plus,SLE,2017,"48,200 km",Diesel,Manual,1st,"Kathra, Nagram, Uttar Pradesh","₹ 6,45,000"
261,Maruti Suzuki,Zen,LXI,2002,"8,000 km",Petrol,Manual,2nd,"Apana Nagar, Parbhani, Maharashtra","₹ 55,000"
262,Renault,Duster,85PS Diesel RxL,2014,"51,000 km",Diesel,Manual,2nd,"Palaj, Gujarat, India","₹ 4,25,000"
263,Datsun,GO,T,2016,"40,510 km",Petrol,Manual,1st,"Jodhpur Village, Ahmedabad, Gujarat","₹ 2,30,000"
264,Hyundai,Elite i20,Asta 1.2 (O),2016,"8,000 km",Diesel,Manual,2nd,"Nana Varachha, Surat, Gujarat","₹ 6,11,000"
265,-,-,-,-,-,-,-,-,-,-
266,Ford,Ecosport,1.5 Diesel Titanium,2017,"45,000 km",Diesel,Manual,1st,"Anamika Enclave, Gurgaon, Haryana","₹ 7,45,000"
267,Toyota,Innova,2.5 G (Diesel) 8 Seater BS IV,2012,"76,000 km",Diesel,Manual,2nd,"Sector 2, Bhilai, Chhattisgarh","₹ 7,00,000"
268,Audi,Q3,35 TDI Premium + Sunroof,2017,"37,000 km",Diesel,Automatic,1st,"Beltola, Guwahati, Assam","₹ 22,45,000"
269,Hyundai,Santa Fe,4WD AT,2014,"88,000 km",Diesel,Automatic,1st,"Shiv Mandir Society, Surat, Gujarat","₹ 11,50,000"
270,Land Rover,Range Rover,2014-2017 LWB 3.0 Vogue,2003,"75,000 km",Diesel,Automatic,2nd,"Bandra West, Mumbai, Maharashtra","₹ 13,50,000"
